datetime,YEAR,MO,DY,HR,WS50M,WD50M,V60,I60,V575,I575,THDV60,THDI60,THDV575,THDI575
2024-06-01 00:00:00,2024,6,1,0,4.6,37.8,61874.141810371664,90.07424940272435,593.8247033003124,5154.86310242241,0.33640228953053214,2.9495194986959126,1.8352336054921536,6.191793195692619
2024-06-01 01:00:00,2024,6,1,1,6.07,35.4,61871.72600502413,90.73887269555439,593.9372029718015,5336.064900431614,0.36971184675865165,3.0657963563977453,1.858198183303451,5.939077894593547
2024-06-01 02:00:00,2024,6,1,2,7.13,35.6,61865.64718431763,91.66411746683752,593.9531049562725,5600.865739647574,0.33362503286627326,2.873410391204937,1.8482919341435526,5.6666435184856505
2024-06-01 03:00:00,2024,6,1,3,7.45,35.1,61864.23288292197,92.12090408811419,593.9934074223901,5694.037488695066,0.3422140979566754,2.6297208089500743,1.864073749635407,5.5561389346303285
2024-06-01 04:00:00,2024,6,1,4,7.58,36.1,61862.38729121735,92.26530887771744,594.0576962841687,5739.5853770801305,0.38968008102007745,2.678144717772427,1.877495343938167,5.514993794468448
2024-06-01 05:00:00,2024,6,1,5,7.66,37.3,61861.353379572065,92.45921096140255,594.0610661094477,5771.019886154873,0.3814972441472399,2.7301088311515143,1.8800378373434066,5.533547804079836
2024-06-01 06:00:00,2024,6,1,6,7.83,39.8,61861.810908388965,92.70791247760305,594.0714581498258,5823.762977874579,0.38872741729701465,2.726980491920036,1.8705175861928482,5.447282678024796
2024-06-01 07:00:00,2024,6,1,7,7.82,43.4,61862.13648574492,92.72786369135436,594.0541672700406,5819.726199191173,0.39729430256513,2.7529929722794333,1.868308115854712,5.433635978570462
2024-06-01 08:00:00,2024,6,1,8,7.22,46.7,61864.640633011615,91.83212057148384,594.0406876051222,5625.42710260928,0.41944493140947153,2.751276930702359,1.8837115417891628,5.627242065450507
2024-06-01 09:00:00,2024,6,1,9,6.41,48.9,61870.014163331405,90.96952296444321,593.946262932616,5405.892567149689,0.3095132079849571,2.9876128966725393,1.8553294585370943,5.827660897109908
2024-06-01 10:00:00,2024,6,1,10,6.0,51.2,61873.34495020377,90.6707022231163,593.864544796261,5320.118015672957,0.36258376628366284,3.3068230616211656,1.8668472593376355,5.916301013552452
2024-06-01 11:00:00,2024,6,1,11,5.9,51.7,61871.245268011604,90.64737140720219,593.9238196501309,5306.936073547049,0.3364814828975972,2.9723057668839443,1.8603963583117078,5.946598083540212
2024-06-01 12:00:00,2024,6,1,12,6.01,52.8,61873.272699612135,90.68625660737996,593.967409399686,5322.059165471004,0.4162526630770621,3.2556320988744822,1.8645839006220013,5.939843633835758
2024-06-01 13:00:00,2024,6,1,13,6.04,54.8,61872.6797374652,90.71582778981474,593.9156307936605,5328.565652549829,0.38181771648335106,3.224640074466992,1.8745225292927796,5.937657694971888
2024-06-01 14:00:00,2024,6,1,14,5.84,58.2,61871.19122894142,90.5627889608624,593.8932948364848,5297.9460316407885,0.3621301358387461,2.832892528174167,1.859244157441424,5.97176223616687
2024-06-01 15:00:00,2024,6,1,15,5.31,64.6,61872.679234147,90.32967907230042,593.8901512361931,5223.8179272814905,0.41328369480148774,3.2462267398596234,1.8695041462310071,6.122071199218354
2024-06-01 16:00:00,2024,6,1,16,4.59,74.4,61874.374489363276,90.11400260321135,593.8662587527475,5153.588625991841,0.39128337624572973,2.985687224111497,1.8687227150558705,6.162229005743171
2024-06-01 17:00:00,2024,6,1,17,3.8,90.5,61875.06161559431,89.95153337683281,593.7749687455376,5127.956440489414,0.3791508616975385,3.144729513203934,1.8687626072720342,6.236078385726096
2024-06-01 18:00:00,2024,6,1,18,3.43,115.9,61873.97199142787,89.94699210644559,593.8664764202081,5131.399546206336,0.4287830597005816,2.9547018257478403,1.8900488651461718,6.203844415046284
2024-06-01 19:00:00,2024,6,1,19,3.56,141.8,61874.03746552353,89.95005099209749,593.877747159545,5131.156505322011,0.44434876178150373,2.880107744950563,1.8936602098339752,6.188102940534847
2024-06-01 20:00:00,2024,6,1,20,3.95,159.4,61874.42516839124,89.99461049635363,593.8490261876029,5135.920658275298,0.39997428768639126,3.159942876425567,1.8752899531400518,6.19500477870666
2024-06-01 21:00:00,2024,6,1,21,3.88,162.0,61874.26186637385,89.96551818873947,593.8235832779719,5135.633165941674,0.39923244746550535,3.172625435660824,1.8798649540523529,6.191366709178201
2024-06-01 22:00:00,2024,6,1,22,3.77,163.7,61875.54932665288,89.9474651132135,593.8944778708836,5124.530223141891,0.46927124970733364,3.1988843737936463,1.8929826828865737,6.203979003661464
